product_slug,sku,name,Categories,categories_slug,category_slug,Brand,brand_slug_origenal,Image,URL,Attributes_origenal,attributes,Price,Regular,Price.1,Sale,Price.2,type,images,variant,description,short_description,stock,brand_slug
171,DV-55G-AF-GY,"Dromex Classic Polycarbonate Lens - Vinyl Frame - EN 166:2002, Anti Scratch, Anti Fog",,"eye-protection-safety-wear-and-equipment, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Grey""}",,,,,,,/04/1.png,,"The Dromex Classic Safety Spectacle features a tinted anti-scratch, anti-fog polycarbonate lens set in a vinyl frame, rated to EN166:2002. Its classic styling offers a comfortable, secure fit for everyday wear. Suitable for construction, warehousing and general industrial environments requiring reliable eye protection.","Classic safety spectacle with a tinted anti-scratch, anti-fog lens, EN166:2002 rated.",10,dromex
172,DV-12C-CL,"Dromex Sporty Polycarbonate Lens - Vinyl Frame - EN 166:2002 Clear, Anti Scratch",,"eye-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Clear""}",,,,,,,/04/1.png,,"The Dromex Sporty Safety Spectacle features a clear anti-scratch polycarbonate lens in a lightweight vinyl frame, rated to EN166:2002. Its sporty design offers a modern, comfortable fit for extended wear. Suitable for construction, warehousing and general industrial environments requiring reliable eye protection.","Sporty safety spectacle with a clear anti-scratch lens, EN166:2002 rated.",10,dromex
173,DV-12C-AF-CL,"Dromex Sporty Polycarbonate Lens - Vinyl Frame - EN 166:2002 Clear, Anti Scratch, Anti Fog",,"eye-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Clear""}",,,,,,,/04/1.png,,"The Dromex Sporty Safety Spectacle combines a clear anti-scratch, anti-fog polycarbonate lens with a lightweight vinyl frame, rated to EN166:2002. Its sporty design offers a modern, comfortable fit for extended wear. Suitable for construction, warehousing and general industrial environments requiring reliable eye protection.","Sporty safety spectacle with a clear anti-scratch, anti-fog lens, EN166:2002 rated.",10,dromex
174,DV-12G-GY,"Dromex Sporty Polycarbonate Lens - Vinyl Frame - EN 166:2002, Anti Scratch",,"eye-protection-safety-wear-and-equipment, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Grey""}",,,,,,,/04/1.png,,"The Dromex Sporty Safety Spectacle features a tinted anti-scratch polycarbonate lens in a lightweight vinyl frame, rated to EN166:2002. Its sporty design offers a modern, comfortable fit for extended wear. Suitable for construction, warehousing and outdoor work environments requiring glare-reducing eye protection.","Sporty safety spectacle with a tinted anti-scratch lens, EN166:2002 rated.",10,dromex
175,DV-12GN-G,Dromex Anti Scratch Sporty Polycarbonate Lens - Vinyl Frame - EN 166:2002,,"eye-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Green""}",,,,,,,/04/1.png,,"The Dromex Sporty Safety Spectacle features a tinted anti-scratch polycarbonate lens in a lightweight vinyl frame, rated to EN166:2002. Its sporty design offers a modern, comfortable fit for extended wear. Suitable for construction, warehousing and outdoor work environments requiring glare-reducing eye protection.","Sporty safety spectacle with a tinted anti-scratch lens, EN166:2002 rated.",10,dromex
176,DV-12A-AF-Y,"Dromex Sporty Polycarbonate Lens - Vinyl Frame - EN 166:2002 Hdl, Anti Scratch, Anti Fog",,"eye-protection-safety-wear-and-equipment, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Yellow""}",,,,,,,/04/1.png,,"The Dromex Sporty Safety Spectacle features a high-definition yellow anti-scratch, anti-fog lens designed to enhance contrast in low-light conditions. Its lightweight vinyl frame offers a comfortable, secure fit. Suitable for warehousing, low-light work areas and general industrial environments.","Sporty safety spectacle with a high-definition yellow anti-scratch, anti-fog lens.",10,dromex
177,DV-12M-MI,"Dromex Sporty Polycarbonate Lens - Vinyl Frame - EN 166:2002 Mirror, Anti Scratch - Indoor/Outdoor",,"eye-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Mirror""}",,,,,,,/04/1.png,,"The Dromex Sporty Safety Spectacle features a mirrored anti-scratch lens designed for glare control in both indoor and outdoor environments. Its lightweight vinyl frame offers a comfortable, secure fit for extended wear. Suitable for outdoor construction, warehousing and general industrial environments with variable lighting.",Sporty safety spectacle with a mirrored anti-scratch lens for indoor and outdoor glare control.,10,dromex
158,DV-894G-AF-B,"Dromex Focus Polycarbonate Lens - Vinyl Frame - EN 166:2002, Anti Scratch & Anti Fog, Frame",,"eye-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Blue""}",,,,,,,/02/20-1.jpg,,"The Dromex Focus Safety Spectacle features a grey anti-scratch, anti-fog polycarbonate lens set in a vinyl frame, rated to EN166:2002. Its focused styling provides a secure, comfortable fit for extended wear. Suitable for construction, warehousing and outdoor work environments requiring glare-reducing eye protection.","Focus safety spectacle with a grey anti-scratch, anti-fog lens, EN166:2002 rated.",10,dromex
158,DV-894G-AF-Y,"Dromex Focus Polycarbonate Lens - Vinyl Frame - EN 166:2002, Anti Scratch & Anti Fog, Frame",,"eye-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Yellow""}",,,,,,,/02/21-2.jpg,,"The Dromex Focus Safety Spectacle features a grey anti-scratch, anti-fog polycarbonate lens set in a vinyl frame, rated to EN166:2002. Its focused styling provides a secure, comfortable fit for extended wear. Suitable for construction, warehousing and outdoor work environments requiring glare-reducing eye protection.","Focus safety spectacle with a grey anti-scratch, anti-fog lens, EN166:2002 rated.",10,dromex
178,F-POUCH-BLK,"Dromex Fabric Pouch, for Lens Cleaning",,"eye-protection-safety-wear-and-equipment, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Black""}",,,,,,,/04/1.png,,"The Dromex Fabric Pouch provides a soft, protective storage solution for safety spectacle lenses when not in use. Its fabric construction helps prevent scratches during storage and transport. Suitable for workshops, warehouses and general industrial environments where spectacles need safekeeping.",Fabric pouch for safely storing and cleaning safety spectacle lenses.,10,dromex
179,8A-G,"Dromex Retainer Cord, Plastic Ring Type",,"eye-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Green""}",,,,,,,/02/23-1.jpg,,"The Dromex Retainer Cord features a plastic ring-type attachment for securely holding safety spectacles in place during active work. Its adjustable design helps prevent accidental loss or damage to eyewear. Suitable for construction, warehousing and general industrial environments requiring hands-free eyewear security.",Plastic ring-type retainer cord for securely holding safety spectacles in place.,10,dromex
180,DR-098-G,Dromex Bell PU Foam Disposable & Un Corded Earplug,,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Green""}",,,,,,,/04/1.png,,"The Dromex Bell PU Foam Disposable Earplug is uncorded and designed for convenient single-use hearing protection. Its soft polyurethane foam construction expands to form a comfortable seal in the ear canal. Suitable for construction, manufacturing and general industrial environments with elevated noise levels.","Disposable bell-shaped PU foam earplug, uncorded, for single-use hearing protection.",10,dromex
181,DR-098C-G,Dromex Bell PU Foam Disposable & Corded Earplug,,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Green""}",,,,,,,/04/1.png,,"The Dromex Bell PU Foam Disposable Earplug is corded for convenient retrieval and single-use hearing protection. Its soft polyurethane foam construction expands to form a comfortable seal in the ear canal. Suitable for construction, manufacturing and general industrial environments with elevated noise levels.","Disposable bell-shaped PU foam earplug, corded, for single-use hearing protection.",10,dromex
182,DR-099C-PY,Dromex Dual Colour Bell PU Foam Disposable & Corded Earplug,,"ear-protection-safety-wear-and-equipment, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Pink/Yellow""}",,,,,,,/04/1.png,,"The Dromex Dual-Colour Bell PU Foam Disposable Earplug offers corded, single-use hearing protection with an easily visible dual-tone design. Its soft polyurethane foam construction expands to form a comfortable seal in the ear canal. Suitable for construction, manufacturing and general industrial environments with elevated noise levels.","Dual-colour disposable bell-shaped PU foam earplug, corded, for single-use hearing protection.",10,dromex
183,DRO30-DISP,Dromex Dispenser (Included 1000 Prs of Ear Plugs),,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Size"":""1 Unit""}",,,,,,,/02/Ear-Protection-Dromex_4.jpg,,Disposable ear plug dispenser that can be placed on a surface or wall-mounted. Makes hearing protection easily accessible to staff & visitors. Holds 500 pairs of DRO30 disposable foam ear plugs and includes a polybag of 500 pairs of ear plug refills. Extra refill packets sold separately.,Wall-mountable earplug dispenser holding 500 pairs of foam ear plug refills.,10,dromex
184,DRO30-G,Dromex Disposable Bullet Earplug (SNR 35),,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Green""}",,,,,,,/04/1.png,,Disposable bullet earplug (SNR 35).,Disposable bullet earplug rated SNR 35 for high-level noise protection.,10,dromex
185,DR-118C-BG,Dromex Mushroom Re-Usable Earplug with Cord (SNR29),,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Blue/Green""}",,,,,,,/04/1.png,,Hi-visibility fluorescent blue triple flange TPR ear plugs.,"Re-usable triple-flange TPR earplug with cord, rated SNR 29, for repeat use.",10,dromex
186,DR-090C-GG,Dromex Mushroom Re-Usable Earplug with Cord (SNR30),,"ear-protection-safety-wear-and-equipment, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Green/Green""}",,,,,,,/04/1.png,,Hi-visibility fluorescent green triple flange TPR ear plugs.,"Re-usable triple-flange TPR earplug with cord, rated SNR 30, for repeat use.",10,dromex
187,DR-090CDET-BB,Dromex Re-Useable Earplugs Detectable Plug and Cord - (SNR 30-32),,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Blue/Blue""}",,,,,,,/04/1.png,,Hi-visibility fluorescent blue triple flange TPR ear plugs with detectable bearing.,"Re-usable detectable triple-flange TPR earplug with cord, rated SNR 30-32.",10,dromex
188,DR-090CI-G,Dromex Mushroom Re-Usable Earplug with Cord in a Box (SNR30),,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Green""}",,,,,,,/04/1.png,,Hi-visibility fluorescent green triple flange TPR ear plugs.,"Boxed re-usable triple-flange TPR earplug with cord, rated SNR 30.",10,dromex
189,EG3301B-B,Dromex Xtree Re-Usable Banded Earplug (SNR28),,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Blue""}",,,,,,,/04/1.png,,Hi-visibility blue triple flange TPR ear plugs.,Re-usable banded triple-flange TPR earplug rated SNR 28 for repeat use.,10,dromex
190,JM-B,"Dromex Ear Muffs J-Muff, 25 SNR",,"ear-protection-safety-wear-and-equipment, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Blue""}",,,,,,,/02/Ear-Protection-Dromex_11.jpg,,"The Dromex J-Muff Ear Defender is rated SNR 25 for reliable noise reduction in moderately noisy environments. Its padded headband and cushioned cups provide comfortable, secure protection during extended wear. Suitable for workshops, warehousing and general industrial environments with moderate noise exposure.",J-Muff ear defender rated SNR 25 for reliable noise reduction.,10,dromex
191,CEM-B,"Dromex Ear Muffs Classic Muff, SNR 30",,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Blue""}",,,,,,,/04/1.png,,"Classic Muff, SNR 30, Blue by Dromex - Padded headband ear muff with soft foam cushions. Low risk of entanglement on machinery. Hearing protection for extended periods. Durable self adjusting ABS cups. Close fitting wire headband.",Classic Muff ear defender rated SNR 30 with a padded headband for extended wear.,10,dromex
192,INTEREX-YBLK,Dromex Inter-Ex Ear-Muff Helmet Mount - EN 352-1 - SNR 28 Interex Ear Defender with Helmet,,"ear-protection-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Yellow/Black""}",,,,,,,/04/1.png,,DROMEX INTEREX EAR DEFENDER - EU slotted Unique DROMEX connector that fits all hard hats. Large twin point mounted cups with soft foam cushions. Easy to attach & detatch with spring loaded arms. Steel arms maintain a constant & even pressure. Adjustable cup for optimum comfort & fit.,"INTEREX ear defender rated SNR 28, EN352-1, with a helmet mount for hearing protection.",10,dromex
193,HHCARRIER-WCL,Dromex Evor Visor Carrier for Hard Hat with Interex,,"eye-protection-safety-wear-and-equipment, head-protection-safety-wear-and-equipment, masks-safety-wear-and-equipment, masks-ppe, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""White/Clear""}",,,,,,,/04/1.png,,"DROMEX EVOR VISOR CARRIER (CURRENTLY OUT OF STOCK. BACK IN MAY). For hard hat with Polycarbonate visor & ABS brow guard. Universal face shield compatible with most industrial safety hard hats/helmets. Provides face protection against liquid splash, medium impact particulates, molten metal & resistance to hot solids. Suitable in construction, general industry, mining, oil & gas, utilities, airports, machining, grinding, woodwork & drilling applications.","EVOR visor carrier for hard hats, providing face protection against splash and impact.",10,dromex
194,DH-MARTCARE-GY,Dromex Martcare Pc Visor & Carrier Sets,,"eye-protection-safety-wear-and-equipment, head-protection-safety-wear-and-equipment, masks-ppe, masks-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,"{""Colour"":""Grey""}",,,,,,,/04/1.png,,"The Dromex MartCare Visor and Carrier Set features a polycarbonate visor designed for attachment to a compatible hard hat. Its carrier system allows quick fitting and removal for flexible face protection. Suitable for construction, grinding and general industrial tasks requiring combined head and face protection.",MARTCARE polycarbonate visor and carrier set for hard-hat face protection.,10,dromex
195,DH-FFM,Dromex Maxi Mask - (NRCS: AZ8072/0187) ( Including Bag),,"masks-ppe, masks-workwear-and-ppe, masks-safety-wear-and-equipment, ppe-workwear-and-ppe, ppe, ppe-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,,,,,,,,/02/Mask-Dromex_1.jpg,,"The Dromex Maxi Mask is a certified respirator (NRCS AZ8072/0187) designed to provide reliable respiratory protection in industrial environments. Supplied complete with a storage bag for convenient carrying and protection when not in use. Suitable for industrial, mining and general workplace applications requiring certified respiratory protection.",MAXI MASK respirator (NRCS AZ8072/0187) supplied with a storage bag.,10,dromex
196,DH-FFMBAG,Dromex Bag for Maxi Mask,,"masks-workwear-and-ppe, masks-safety-wear-and-equipment, masks-ppe, ppe-workwear-and-ppe, ppe, ppe-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,,,,,,,,/02/Mask-Dromex_2.jpg,,The Dromex Bag for Maxi Mask is a dedicated storage bag designed to protect and carry the Maxi Mask respirator when not in use. Its practical design helps keep the respirator clean and ready for use between shifts. Suitable for workers and businesses using the Dromex Maxi Mask respirator system.,Storage bag designed for the MAXI MASK respirator.,10,dromex
197,DH-302-S,Dromex EN302 Twin Mask NRCS/8072/0413( with Respirator Bag),,"masks-ppe, masks-workwear-and-ppe, masks-safety-wear-and-equipment, ppe-ppe, ppe-workwear-and-ppe, ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""Small""}",,,,,,,/02/Mask-Dromex_3.jpg,,The Dromex EN302 Twin Mask is a certified twin-filter respirator (NRCS 8072/0413) supplied with a respirator bag for convenient storage and transport. Designed for reliable respiratory protection in industrial and workplace environments. Suitable for use with compatible filter cartridges across a range of industrial applications.,EN302 twin-filter respirator (NRCS 8072/0413) supplied with a respirator bag.,10,dromex
197,DH-302-M,Dromex EN302 Twin Mask NRCS/8072/0413( with Respirator Bag),,"masks-safety-wear-and-equipment, masks-ppe, masks-workwear-and-ppe, ppe-workwear-and-ppe, ppe, ppe-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""Medium""}",,,,,,,/02/Masks-Dromex_1.webp,,"Durable refuse bags with for reliable waste containment. Leak-resistant and tear-resistant construction suitable for household, commercial, and industrial waste management. Strong seams and reliable performance for everyday rubbish disposal.",EN302 twin-filter respirator (NRCS 8072/0413) supplied with a respirator bag.,10,dromex
197,DH-302-L,Dromex EN302 Twin Mask NRCS/8072/0413( with Respirator Bag),,"masks-ppe, masks-workwear-and-ppe, masks-safety-wear-and-equipment, ppe-workwear-and-ppe, ppe, ppe-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,"{""Size"":""Large""}",,,,,,,/02/Masks-Dromex_2.webp,,"Durable refuse bags with for reliable waste containment. Leak-resistant and tear-resistant construction suitable for household, commercial, and industrial waste management. Strong seams and reliable performance for everyday rubbish disposal.",EN302 twin-filter respirator (NRCS 8072/0413) supplied with a respirator bag.,10,dromex
198,DR-A1-EN,Dromex A1-EN Twin Filter NRCS/8072/0415,,"disposables-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_3.webp,,"The Dromex A1-EN Twin Filter (NRCS 8072/0415) protects against organic vapours when fitted to a compatible twin-filter respirator. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for painting, solvent handling and other environments with organic vapour hazards.",A1-EN twin filter (NRCS 8072/0415) for respirator organic vapour protection.,10,dromex
199,DR-A2-EN,Dromex A2-EN Twin Filter NRCS/8072/0414,,"disposables-ppe, masks-safety-wear-and-equipment, masks-ppe, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/04/1.png,,"The Dromex A2-EN Twin Filter (NRCS 8072/0414) protects against higher concentrations of organic vapours when fitted to a compatible twin-filter respirator. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for painting, solvent handling and industrial environments with organic vapour hazards.",A2-EN twin filter (NRCS 8072/0414) for respirator organic vapour protection.,10,dromex
200,DR-A1P2-EN,Dromex A1P2 EN Filter NRCS/8072/0420,,"disposables-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_5.webp,,The Dromex A1P2 EN Filter (NRCS 8072/0420) combines organic vapour and particulate protection in a single filter for twin-filter respirators. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for spray painting and other tasks involving both vapour and dust hazards.,A1P2 EN filter (NRCS 8072/0420) for combined vapour and particulate protection.,10,dromex
201,DR-A2P3-EN,Dromex A2P3 EN Filter NRCS/8072/0424,,"disposables-ppe, masks-safety-wear-and-equipment, masks-ppe, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_6.webp,,The Dromex A2P3 EN Filter (NRCS 8072/0424) combines higher-level organic vapour and particulate protection in a single filter for twin-filter respirators. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for industrial spraying and other tasks involving combined vapour and dust hazards.,A2P3 EN filter (NRCS 8072/0424) for combined vapour and particulate protection.,10,dromex
202,DR-P2-EN,Dromex P2-EN Filter NRCS/8072/0422,,"disposables-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_7.png,,"The Dromex P2-EN Filter (NRCS 8072/0422) protects against particulates when fitted to a compatible respirator. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for dusty construction, woodworking and general industrial environments.",P2-EN filter (NRCS 8072/0422) for respirator particulate protection.,10,dromex
203,DR-P2PF-EN,Dromex P2PF-EN Pre Filter NRCS/8072/0423 ( 2 Retainers and 6 Pre Filters),,"disposables-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/04/1.png,,The Dromex P2PF-EN Pre-Filter Set (NRCS 8072/0423) includes 2 retainers and 6 pre-filters designed to extend the life of the main respirator filter. Its pre-filtration function helps capture larger particulates before they reach the primary filter. Suitable for dusty construction and general industrial environments.,P2PF-EN pre-filter set (NRCS 8072/0423) with 2 retainers and 6 pre-filters.,10,dromex
204,DR-P3PF-EN,Dromex P3PF-EN Pre Filter NRCS/8072/0427,,"disposables-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_9.png,,The Dromex P3PF-EN Pre-Filter (NRCS 8072/0427) provides pre-filtration to extend the life of the main respirator filter against fine particulates. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for high-dust construction and industrial environments.,P3PF-EN pre-filter (NRCS 8072/0427) for respirator particulate pre-filtration.,10,dromex
205,DR-P3-OV-EN,Dromex P3-Ov-EN Filter NRCS/8072/0426,,"disposables-ppe, masks-safety-wear-and-equipment, masks-ppe, ppe-ppe, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_10.png,,"The Dromex P3-OV-EN Filter (NRCS 8072/0426) combines particulate and organic vapour protection in a single filter for demanding respiratory applications. Its certified construction meets NRCS approval standards for reliable protection. Suitable for spray painting, chemical handling and dusty industrial environments.",P3-OV-EN filter (NRCS 8072/0426) for combined particulate and organic vapour protection.,10,dromex
206,DR-ABEK1-EN,Dromex ABEK1-EN Filter NRCS/8072/0419,,"masks-ppe, masks-safety-wear-and-equipment, ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_11.jpg,,The Dromex ABEK1-EN Filter (NRCS 8072/0419) provides protection against a broad range of gases and vapours for multi-hazard respiratory applications. Its certified construction meets NRCS approval standards for reliable protection. Suitable for chemical processing and other environments with multiple gas hazards.,ABEK1-EN filter (NRCS 8072/0419) for multi-gas respirator protection.,10,dromex
207,DR-ABEK1P3-EN,Dromex ABEK1P3-EN Filter NRCS/8072/0425,,"disposables-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_12.png,,The Dromex ABEK1P3-EN Filter (NRCS 8072/0425) combines multi-gas protection with particulate filtration for comprehensive respiratory defence. Its certified construction meets NRCS approval standards for reliable protection. Suitable for chemical processing environments with both gas and dust hazards.,ABEK1P3-EN filter (NRCS 8072/0425) for combined multi-gas and particulate protection.,10,dromex
208,DH-101,Dromex Midimask PVC Single Mask - (NRCS: AZ2011/43),,"masks-ppe, masks-workwear-and-ppe, masks-safety-wear-and-equipment, ppe-workwear-and-ppe, ppe, ppe-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,,,,,,,,/04/1.png,,MIDIMASK PVC Single Mask - BLUE (NRCS: AZ2011/43).,MidiMask PVC single mask (NRCS AZ2011/43) for respiratory face protection.,10,dromex
210,DHCS-A1,Dromex A1 - Single Unifit Filter (NRCS: AZ2011/70),,"disposables-ppe, masks-safety-wear-and-equipment, masks-ppe, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_15.png,,"The Dromex A1 Single Unifit Filter (NRCS AZ2011/70) protects against organic vapours when fitted to a compatible single-filter respirator. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for painting, solvent handling and other environments with organic vapour hazards.",A1 single Unifit filter (NRCS AZ2011/70) for respirator organic vapour protection.,10,dromex
211,DHCS-P2,Dromex P2 - Single Unifit Filter (NRCS: AZ2011/67),,"disposables-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, ppe-ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_16.webp,,The Dromex P2 Single Unifit Filter (NRCS AZ2011/67) protects against particulates when fitted to a compatible single-filter respirator. Its certified construction meets NRCS approval standards for reliable respiratory protection. Suitable for dusty construction and general industrial environments.,P2 single Unifit filter (NRCS AZ2011/67) for respirator particulate protection.,10,dromex
212,DHCS-P2PF,"Dromex P2PF - Single Unifit Pre-Filter / 1 Cover, Set of 6",,"masks-safety-wear-and-equipment, ppe, safety-and-equipment-ppe, safety-wear-and-equipment",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_17.jpg,,"The Dromex P2PF Single Unifit Pre-Filter Set includes six pre-filters and one cover, designed to extend the life of the main respirator filter. Its pre-filtration function helps capture larger particulates before they reach the primary filter. Suitable for dusty construction and general industrial environments.",P2PF single Unifit pre-filter set of 6 with 1 cover for respirator protection.,10,dromex
213,DH-102,Dromex Midimask PVC Double Mask - (NRCS: AZ2011/45),,"masks-workwear-and-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, safety-and-equipment-ppe, safety-equipment-workwear-and-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_18.jpg,,MIDIMASK PVC Double Mask - BLUE (NRCS: AZ2011/45).,MidiMask PVC double mask (NRCS AZ2011/45) for respiratory face protection.,10,dromex
214,DH-202,Dromex Midimask TPR Double Mask - (NRCS: AZ2011/46),,"masks-workwear-and-ppe, masks-ppe, masks-safety-wear-and-equipment, ppe, safety-and-equipment-ppe, safety-equipment-workwear-and-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_19.jpg,,MIDIMASK TPR Double Mask - GREY (NRCS: AZ2011/46).,MidiMask TPR double mask (NRCS AZ2011/46) for respiratory face protection.,10,dromex
209,DHRB-BLK,Dromex Respirator Bag,,"masks-safety-wear-and-equipment, masks-workwear-and-ppe, masks-ppe, ppe, safety-and-equipment-ppe, safety-equipment-workwear-and-ppe, safety-wear-and-equipment, workwear-and-ppe",,Dromex,dromex,,,,,,,,,,,/02/Masks-Dromex_20.jpg,,"The Dromex Respirator Bag is a black storage bag designed to keep respiratory equipment clean and protected when not in use. Its compact design makes it convenient to carry between work sites. Suitable for construction, industrial and maintenance environments where respirators need safe storage.",Black respirator bag for safely storing and transporting respiratory equipment.,10,dromex
